status,full_text,id_str
negatif,@kurawa Enggak.. ini gak done. Ini minta maaf Steam ke customer Indo. Kesalahan dari awal juga karena IGRS salah ngasih data ke steam. Internal komdigi juga udh ngaku kalo salah,2041776340677042185
negatif,Huru-hara Rating IGRS Komdigi Investigasi Platform Steam #uzoneID https://t.co/HpDNGiZ37z,2041776822409687467
netral,Sejak awal April 2026 gamers Indonesia menghadapi kekhawatiran. Pasalnya dalam tampilan gim yang diperjualbelikan di platform distribusi gim PC Steam muncul lambang Indonesia Game Rating System (IGRS) dengan klasifikasi rating umur untuk masing-masing gim. Ada sejumlah gim https://t.co/Q5kzxdqbKQ,2041730472288702626
positif,Kementerian Komunikasi dan Digital (Komdigi) memastikan tampilan klasifikasi Indonesia Game Rating System (IGRS) pada sejumlah gim di Steam bukan hasil klasifikasi resmi yang diverifikasi pemerintah Indonesia. Selengkapnya https://t.co/atxtx60ajf,2041708684548706676
positif,@ZonaKitten @Analyst_V2 Komdigi (Kementerian Komunikasi dan Digital Indonesia) baru-baru ini klarifikasi soal label rating IGRS (Indonesia Game Rating System) yang muncul di Steam. Ternyata rating itu bukan resmi dari pemerintah melainkan hasil self-declare publisher yang belum terverifikasi dan belum,2041608490175635909
netral,&lt;&lt;&lt; nama hamba amat sulit digugling karena kecampur (1) Miuccia Prada ; (2) Miu Miu ; (3) The Devil Wears Prada / Anne Hathaway https://t.co/rO0SELOqoJ,2041497410434986351
positif,Edan maki2 tolol ke Pak @onnowpurbo Serem betul jari gamers NKRI yang otaknya ga dipake dikit-bentaran tuk gugling siapa Pak Onno. Astaghfirullah. IGRS kacau tapi ga se kacau maki2 ahli IT kayak Pak Onno juga https://t.co/rO0SELOqoJ,2041494034397671888
negatif,Memaki Mending itu jempol dipake di joystick daripada ngetwit ke orang se suhu Pak @onnowpurbo itu extremely disturbing sih. Cmon. IGRS kacau balau ya banget. Tapi pakai makian ke Pak Onno wow. You sudah usia 40+ lebih ga mungkin ga tau Pak Onno https://t.co/rO0SELOqoJ,2041492147778748868
negatif,IGRS kacau balau banget banget ya bangeetttttt Tapi maki2 suhu kayak @onnowpurbo Pak Onno sudah kebablasan banget sih para gamer. Damn bisa lho gugling semenitan siapa itu Pak Onno. https://t.co/rO0SELOqoJ,2041491303465369937
negatif,tuduhan buzzer ke Pak @onnowpurbo itu disturbing banget terlepas saya paham IGRS kacau. Harusnya anda googling siapa Pak Onno &amp; keahlian beliau. Apa mostly gamer ga tau bneran Pak Onno? Bp @kerissakti harusnya tahu Pak Onno &amp; lebih beradab twit nya https://t.co/rO0SELOqoJ,2041490837830582717
negatif,Pakai kata bodoh ke Pak @onnowpurbo itu benar2 disturbing banget terlepas saya paham IGRS (amat) kacau balau. Harusnya anda googling beberapa menit siapa Pak Onno &amp; kapasitas / keahlian beliau https://t.co/rO0SELOqoJ,2041489750218142002
netral,@ekawicaksana Padahal namanya aja IGRS INDONESIA Game Rating System dikelola Komdigi loh Steam cuma wadah game dan fitur IGRS-nya,2041464546410512457
positif,Indonesia Game Rating System (IGRS) diimplementasikan pada platform seperti Steam dengan tujuan utama untuk memberikan panduan yang jelas bagi konsumen mengenai kesesuaian konten gim dengan usia pengguna. Hal ini merupakan bagian dari regulasi pemerintah Indonesia untuk https://t.co/7yM5xXi3lO,2041394911262744657
positif,@adriaInsight @haritstoteles_ IGRS (Indonesia Game Rating System) adalah sistem klasifikasi usia game digital yang dikeluarkan Kementerian Komunikasi dan Informatika. Tujuannya kasih panduan konten (kekerasan rokok dll) biar pemain tahu sesuai umur mulai diterapin ketat di Steam sejak April 2026.,2041174830590861742
netral,Kementerian Komunikasi dan Digital (Kemkomdigi) menjelaskan bahwa munculnya label rating Indonesia Game Rating System (IGRS) di platform Steam sempat viral https://t.co/ovOW1EcmB4,2041165724945961339
negatif,Polemik Indonesia Game Rating System (IGRS) di platform Steam memicu tanda tanya besar apalagi setelah muncul anomali rating yang bikin beberapa game bahkan yang populer berpotensi sulit diakses di Indonesia.#moncongpublik #fraksipdiperjuangan #pdiperjuangan #IGRS #kemkomdigi https://t.co/SvNZb5iRlM,2041149545292464296
negatif,@trunkszoldyck Jadi perilisan IGRS(Indonesia Game Rating System) di Steam bisa jadi adalah pengalihan isu dari kasus ini sama kasus besar lainnya. Kalau ini memang benar Anjing sih mereka.,2041134184476074352
negatif,Penerapan Indonesia Game Rating System (IGRS) di Steam menuai protes karena banyak label usia dinilai janggal game kekerasan bisa berlabel 3+ sementara game ramah anak justru 18+. Via : Detik #game #steam #gamer #memes #indonesia https://t.co/kgndUHWGEX,2041118711411872047
positif,Soroti Polemik Tokoh Inspirasi Anies Baswedan: IGRS Harus Jadi Alat Pemberdayaan Bukan Pembatasan. Bahwa Indonesia Game Rating System (IGRS) seharusnya menjadi sarana pemberdayaan masyarakat. https://t.co/a9iKvbDJJC https://t.co/QpDFhFszti,2041103619463016451
netral,Apa itu IGRS? Sistem rating game nasional yang belakangan bikin Komdigi jadi sorotan netizen. Indonesia Game Rating System (IGRS) dibuat untuk mengklasifikasikan game berdasarkan usia mulai dari 3+ 7+ 12+ 16+ 18+ hingga Refused Classification (RC). https://t.co/rPgygYiYtc,2041093316578799714
netral,Kementerian Komunikasi dan Digital (Komdigi) akan meminta klarifikasi dari Steam terkait polemik sistem rating game berbasis Indonesia Game Rating System (IGRS). Via : Kompas #game #steam #gamer #indonesia #memes https://t.co/njLQq1vPtM,2041087384360775960
negatif,@ChouSenka Kan kalo urusan bokep boleh masuk pasar indo bang kayak gatau Indonesia aja,2040576533161779583
negatif,@nnnhnf @ChouSenka Game bokep rating 3+ ini malah 18+,2040576272578031942
negatif,@ChouSenka Sekarang judol iklannya makin marak. Pindah tailand kah basenya. Dana buat jajan komdi lncar lagi. Jd gak mikirin ini lah.,2040575985637323122
negatif,@Rzky14F @ChouSenka 100% bang banyak game yang salah di kasih rating sama.,2040575641217806702
negatif,@ChouSenka Kominfonya ngawuor Komdiginya mblekok,2040575614441439261
negatif,@adhiprtm @ChouSenka Gak tau juga bang ini game hentai ada yang dapet rating umur 3 tahun jadi gak ada yang ngerti pemberian rating ini berdasarkan apa.,2040575372237197395
negatif,@UgoTito @ChouSenka @yaboishiru Makanya gua sampe pusing bayangin doom eternal sama nutaku di kasih rating 3 tahun ini yang kasih rating kayaknya umur 50 keatas semua.,2040575093299163211
netral,@pprifqi @ChouSenka Ndak tau,2040574702478094649
netral,@ydrefla7_ @Joeeeyzzzz @rendrafrizal https://t.co/8v3yARPJ17 Bisa baca disini yakkk,2040574383157391453
negatif,@Joeeeyzzzz @ChouSenka @rendrafrizal Kalo udah dibeli mah masih aman. Kemungkinannya itu paling ga bakal dijual lagi di region Indonesia karena rating IGRS jelek ini,2040573456186798105
netral,@ChouSenka WOILAH CIK,2040572883077087499
negatif,@ChouSenka Biar keliatan kerja,2040572224076464164
negatif,@ChouSenka Disuruh bayar itu biar dilepas emg tolol kemkomdigi.,2040571931280527751
negatif,@ChouSenka Yg ini parahhh cuy rating nya,2040571461849718839
netral,@ChouSenka Coba liat Nukitashi wkwk,2040571073411035535
negatif,@ChouSenka Konsisten dengan ketololannya si komdongo ini,2040570081898631582
negatif,@ChouSenka Orang tolol mana yg bikin rating. Mau liat mukanya,2040569914831114743
negatif,@ChouSenka VPN nyala server di ganti-ganti tetep ga ngefek. Ya dah cari versi pak tani nya saja :D,2040569826406490201
negatif,@Rzky14F @ChouSenka Jelas2 org dalam semua tu mereka bagi2 kue dan kerja asal2an buat apa bikin rating sendiri padahal secara international udah ada rating game.,2040569218505257226
netral,@ChouSenka,2040568921120702710
netral,@ChouSenka @yaboishiru Mana ada anak muda liat aja pas pembukaan lembaga ni kerangka doang isinya,2040568708507308210
netral,@ChouSenka Kalo pake VPN gimana ?,2040568521478803908
negatif,@ChouSenka Udah kuduga bakal kacau Komdigi tu gak Ada bedanya sama kominfo sama2 tolol dalam membuat kebijakan liat aja jenis2 game yg mereka rating keknya mereka pakai chatgpt buat nentuin dan selesai makan duit Haram aja kerjaannya gak kaget sih klo ini proyek bagi2 kue.,2040568399701721495
negatif,@ChouSenka emang banyak orang goblok di pemerintahan. pingin jadi pahlawan tapi endingnya kerjaannya malah salah sasaran. emang paling bener kalau gak bisa kerja dengan benar ya mending diem aja gak usah ngide bikin kebijakan aneh-aneh.,2040567938797957283
netral,@ChouSenka (((MINUMAN BERALKOHOL))) https://t.co/nyvGLlOB9t,2040566841886879876
negatif,@ChouSenka Jir rating nya cuma ada antara +3 sama +18 kah aneh banget,2040566438919045597
negatif,@violetnyaal @ChouSenka si komdigi itu ga nyalain age restriction kali di steam nya biar muncul content mature wkwk,2040566111864021391
negatif,@ChouSenka awoakwk bisa²nya ada game nekopara yang ratingnya 3+ padahal dari tagnya aja udh jelas. https://t.co/04kBofF7OS,2040565995040063851
negatif,@ChouSenka Ini bego banget malah 3+ doang,2040563242402185385
negatif,@ChouSenka Tinggu mr goldbreg gan jangan pake hypervision. Klopake bajakan gara2 pemerintah ga becus gpp. Karena game yakuza seperti pemerintahan kita yg bobrok yg diberantas kiryu kazuma,2040562236486566338
netral,@ChouSenka mungkin komdigi liat clip yg versi mod,2040561552781361473
netral,@ChouSenka Kiapa nih @nnnhnf,2040561265941291166
netral,@ChouSenka Gwm horor? Aweloh,2040559809213444460
negatif,@ChouSenka kutebak orang yang kerja di sana kebanyakan gak mainin gamenya secara langsung abis itu kasih rating seenak jidat sendiri,2040559771586314251
negatif,@ChouSenka Paling ngawur PEAK 18+ AOWKWK,2040559098765443250
netral,@ChouSenka Tsushima not fit in +62 https://t.co/qQUObomAZM,2040559044558258638
netral,@ChouSenka @rendrafrizal maksudnya gimana bang? misalkan udah beli lama banget bisa hilang gitu ?,2040558840291504216
negatif,@ChouSenka Game franchise bola yg family friendly bahkan kena THIS SYSTEM RATING IS BS https://t.co/OlnkvjKb0F,2040558603359408147
netral,@ChouSenka Soal pajak bukannya kemarin sudah tidak ada yg masuk ke Indo ya?,2040557737923555550
negatif,@ChouSenka Fk them from all sides. Gak kompeten dan kerjaannya nabrak sana-sini tanpa aturan yg bener. Lg dikejar target or gmn ini?,2040557731749507210
negatif,@ChouSenka lagi dan lagi komdigi wkwk. bukannya fokus ngurus judol malah ngerecokin kesenangan masyarakat mulu,2040557585670234448
negatif,@ChouSenka Ya ampun satu satunya escape saya dari rl malah di obok2,2040556883468280011
netral,@ChouSenka komdigi ngapain juga merambah ke game emangnya ngerti ya?,2040556694628122772
negatif,@ChouSenka game bokep aman loh wkwk https://t.co/9pzEKXJnR9,2040555591069016265
netral,@ChouSenka yang Console kena juga kah? bangsat banget sih ini anjir,2040552985663857130
netral,@adzLoL_ @ChouSenka @yaboishiru Anak muda jaman romusha kayaknya,2040552910359269818
negatif,@ChouSenka WKWKKW KOCAK KONTOLL,2040552063898415454
negatif,@ChouSenka ini negara kalo ga bikin kebijakan tolol ya bikin lembaga tolol oalah cok cok,2040550991419109808
negatif,@jows__ Lembaga plenger,2040550788544774577
netral,@adzLoL_ @ChouSenka @yaboishiru anak mudan 30 tahun yang lalu,2040550673763426370
netral,@ChouSenka Doom eternal ratingnya 3+ brok,2040550451633103292
negatif,@ChouSenka game sebagus ini dibikin rendah ama mereka??? ga abis pikir gw,2040550053215895933
negatif,@ChouSenka kebanyakan lembaga di Indo cuman nyusahin warganya anj kerja gada yg benernya. TAPI YANG UPIN IPIN KENA 18+ AING GA EXPECT BGT KOMDIGI ABIS NNTN BKP KAK ROS KAH?,2040549776329220324
netral,@ChouSenka Lama lama jadi kek korea utara ini negara,2040546573579620604
negatif,@ChouSenka Komdigi kebanyakan nyabu.,2040545457366343686
negatif,@ChouSenka biar gengsi2an aja.,2040544337856225565
negatif,@ChouSenka kesel bgt liatnya,2040543704956764480
netral,@ChouSenka wkwkwkwk gua ngakak liat umpatan lu nder bener nyawit,2040541853108539662
negatif,@UgoTito @ChouSenka @yaboishiru Logika tolol khas boomer sok tau,2040541825652740367
negatif,@ChouSenka Expedition 33 kalo sampe diblokir berarti emang wajib kena gommage ini orang-orang skill issue yang kerjanya cuma gangguin orang yang pengen tenang main game. Mau hidup nggak ngurusin politik pun akhirnya kena juga nanti kalo gamer turun ke jalan semua dibilang ngapain demo.,2040541597948154192
negatif,@ChouSenka Sekalinya kerja pasti kgk bener,2041364062702104719
negatif,@ChouSenka @sugondese6666 Anak umur 3 tahun udh diajari jadi Gooner,2041109743746629750
negatif,@ChouSenka Btw mereka lupa apa ya klo ada rating 15+ ? Aku lihat di web yg 13+ lumayan ada 2520 gim lho,2041041145653051593
negatif,@WASPROW @ChouSenka -_- Apalah ini... padahal cuma game rhytm loh kok 18+?,2040990819679887513
netral,@komdigi_jateng @ChouSenka @BAKTIKomdigi @pusatkomdigi Maaf min kalo kata kata nya kasar cmn agak emosi aja mwehehe,2040990710766428662
netral,@_0xNomad_ @ChouSenka @BAKTIKomdigi @pusatkomdigi halo kak 0xNomad terima kasih ya atas kritiknya. kami bantu koordinasikan dengan Kementerian Komdigi selaku yang berwenang terkait IGRS ini ya kak atau jika kakak mau bantu lebih cepat bisa dilaporkan kesini ya .. https://t.co/nIEoRVJNa7 terima kasih kak..,2040989321969401911
netral,@ChouSenka Wtff steam gabisa ikut campur kah kalau gini? Minimal ngata ngatain komdigi lah,2040978813333704742
netral,@ChouSenka Windah harus bergerak,2040969452242739299
netral,@nyaringin @ChouSenka hahhh kocak,2040969100131000554
negatif,@ChouSenka kementrian idiot,2040968555173384294
negatif,@ChouSenka Memang komdigi pekok dawg,2040964838529388660
negatif,@ChouSenka Damn mungkin Indonesia mau anak anaknya paham tentang surga dan neraka,2040954107121500588
negatif,@ChouSenka Please bring ragnamok to komdigi it would be so fuckin funny,2040951454794764642
negatif,@ChouSenka Diam tidak berguna sekali gerak rusak semua,2040948963029958901
negatif,@ChouSenka stop yapping marah2nya mari kita report akun komdigi sebagai fake dengan alasan menyamar menjadi suatu kementrian,2040945934562136263
negatif,@ChouSenka Ini ngawur bet masa game lokal dapet 18+?? Sedangkan game gesek² dapet 3+ https://t.co/IaHQepiheR,2040928814113706031
negatif,@ChouSenka Ngeliat tingkah polah pemrenta bikin w ga berhenti ketawa IGRS seriously? Mestinya mereka ngaca dulu kali yak berlagak ngatur moral bangsa tapi sebagian diantara mereka malah ga punya moral,2040927344635081094
negatif,@ChouSenka IGRS kan produk titipan CCP,2040920396879589796
negatif,@ChouSenka Heartopia yg gamenya cuma mancing berkebun ama nangkep capung aja bisa kena rate viol3nc3 kemaren lewat twitnya,2040913354617913811
positif,@virtualballers Setuju sama statement ini. Cuma mungkin bener lebih bagus dengan adanya IGRS bisa lebih melokalkan rating yang awalnya dikasih dari luar,2040961244455448660
positif,@virtualballers Nah lebih masuk dikomen tuh ada yang bilang mending fokus buat cek game HP aja karena justru ini yg sering lepas kontrol (kalo emang niatnya buat jaga anak2 wkwkwkwk),2040952696854004085
netral,@virtualballers Kita memang gabung juga sama koalisi antar lembaga rating yang didalamnya ada ESRB sama PEGI gatau sih tapi beneran diajak konsultasi ga tuh mereka https://t.co/dre1bgxv0C,2040952311212802482
negatif,@virtualballers Ga penting sama sekali Gue rasa game aksesnya masih terbatas di Indo jadi mohon maaf nih kebanyakan yang main juga orang yang minimal mampu finansial yang mana biasanya diikuti mampu juga buat menilai game sendiri.,2040951974825525411
negatif,@virtualballers Cuma proyek buat ngabisin anggaran dan memperkaya segelintir oknum same shit like MBG.,2040950047899353224
negatif,@virtualballers jika dilihat dari kondisi saat ini IGRS bukan sesuatu yg urgent krn mayoritas Steam users di Indo tau apa yg mereka mainkan. seharusnya Komdigi fokus ke pemberantasan judol² yg sudah jelas merugikan negara &amp; mengancam masyarakat (serta membangun &amp; memperbarui jaringan internet),2040947512828420572
positif,@virtualballers sebetulnya pemerintahan bikin IGRS itu punya maksud &amp; tujuan yg bagus hanya saja implementasinya sangat ngawur. PEGI &amp; ESRB bisa jadi referensi IGRS utk kasih rating versinya. blm lagi Komdigi lgsg lepas tangan dan nyalahin Steam pdhl yg punya kontrol penuh IGRS itu Komdigi,2040946148018716726
positif,@virtualballers Sebenernya gapapa tapi kalo niatnya buat unsut politik no,2040938059458584746
netral,@virtualballers Mau bikin IGRS dan semacamnya juga kalo masih ada yang jual game di Shopee mah gak ngaruh.,2040937447610306937
negatif,@virtualballers paling masalah sama distribusi yang diatur2. Dalihnya tidak sesuai dengan rakyat Indonesia ampe semua hal nanti disensor.. Ini game aja sudah dibatasi. ga menutup hal lain kayak buku film dll bakal dibanned juga,2040914330544456159
negatif,@virtualballers fym? INI IDE BURUK,2040889440584057137
negatif,@virtualballers Dari jaman PS1 juga udah ada rating ESRB yg bocil juga ngerti maksudnya apa. Di tony hawk pro skater 3 itu ratingnya E (Everyone) soalnya udah ga bedarah bucat-bucat lagi kaya tony hawk 1 dan 2. Kalau mau ada darahnya dan ketusuk-tusuk ya main tony hawk 1-2 Berarti ini kalah https://t.co/emoEAbrjvJ,2040872376846762346
netral,@virtualballers @_sleepwalk1ng_ Terus rating di game yang sudah tercantum buat apa emangnya cuman stample hitam putih apa ya,2040827821850022002
negatif,@virtualballers Ga bisa ngatasin judol malah mainan ngasi rating‍,2040824073509630152
negatif,@virtualballers Gua curiga rating² ini dibuat sebagai alat palak Mau ratingnya cocok sini bayar Karena ada yg bilang pasar kita gede loh... Pasar gede kalau enggak dipalak kan rugi yak,2040820391267160505
negatif,@fizzzzyyyyyyy @virtualballers udah biasa pelaku industri meeting cuma buat syarat. ketentuan akhir dipilih yang ada untungnya. contoh sni mainan anak. sekarang banyak mainan yang sampah bahannya sampah gak lama jadi sampah. tetep dapet sni,2040795899497181616
positif,@virtualballers engga perlu memang. yang perlu ya diajarin orang tuanya. pengawasan aktif komdigi. harus aware game apa yg lagi booming. trus dicrosscheck rating dan pengguna di indonesia. sesuai ga. setelah itu lakukan tindakan.,2040795565332844607
positif,@virtualballers bagus sih cuma harus dari developernya langsung yang menilai sendiri baru dikirim ke igrs,2040792928847860137
negatif,@virtualballers Game seimut dan selucu ini ratingnya 13+ https://t.co/zM0KVrHW4A,2040752599608197222
negatif,@virtualballers fomo mau ngikuti PEGI &amp; ESRB aja.,2040739890762326035
negatif,@virtualballers Yang bikin masalah besar: 1. Rating IGoblokRS ngasalnya keliatan banget 2. Rating2 lain ga dipakai untuk sensor lah ini kalau RC instan ga boleh,2040730397760512185
negatif,@virtualballers Gendeng ni IGRS masa ETS 2 ratingnya 3+ itu bocil2 lu suruh nyetir Scania Ama Volvo?,2040728186259140968
negatif,@virtualballers Masih ngawur penggolongan rating nya,2040728131007562090
positif,@virtualballers gak masalah ini gw gak pernah kluar duit beli game dari steam cari download an gratis bejibun,2040718232290795999
negatif,@virtualballers Apa ada expert di dunia gaming yg terlibat di Lembaga jelek ini?? Sy yakin gak ada,2040717434911666198
netral,@caprisunburst @virtualballers sejak kapan? soalnya semenjak punya duit gak pernah main game bajakan terakhir main 2023,2040716055207924043
netral,@virtualballers hmmmmmm https://t.co/fixHpQJaHG,2040682953584549936
negatif,@virtualballers alamaakk najisnyeee ada ajak gebrakan e ini,2040674597973209397
netral,@santuysboys @virtualballers pengalaman pribadi solusi nya belum ada untuk bobol win11,2040668652287181221
netral,@caprisunburst @virtualballers iyakah? info darimana?,2040668201722564951
negatif,@virtualballers Cuman ya EA FC masa dapat rating 18+ dah wkwkwk https://t.co/Ynv1AC2RdC,2040662762687508964
netral,@virtualballers UUD,2040653148453499326
negatif,@virtualballers orang2 kolot tapi pengen sok relevan ya jadinya gini hasilnya,2040646561940856884
negatif,@virtualballers Najis kata gua,2040645893297517043
negatif,@virtualballers Tetap aja aktivis game gak bisa protes keras cuma rame disosmed doang. Gak bisa apa2 kan lu pada main yg lain aja udah.,2040639954779525228
negatif,@virtualballers Tapi kalau Call of Duty BO7 dan GTA SA ratingnya 3+ sedangkan Upin dan Ipin 18+ sih jujur janggal.,2040578537015607649
positif,Rating semacam ini sebetulnya bukan hal baru. Apa yang dilakukan oleh Indonesia ini sudah diterapkan oleh negara lain contohnya PEGI rating di Eropa dan ESRB di Amerika. Yang baru minggu ini IGRS resmi ter-integrasi dengan Steam. Steam yang tadinya menggunakan PEGI rating https://t.co/A6MIrk8jy6,2040575515879485801
netral,Indonesia baru2 ini menerapkan IGRS (Indonesia Game Rating System) sebuah rating untuk membagi video game berdasarkan kelompok umur tertentu. Komdigi membagi beberapa golongan usia ditambah RC (Refused Classification) yang artinya game dianggap memiliki konten terlarang. https://t.co/SwHPdbrOgt,2040575505964191995
negatif,@virtualballers Gendeng ni rating masa Nukitashi di labeli 3+ pengen ngajarin anak sange sejak usia dini?,2040633023050428699
positif,@virtualballers Sistem oke sih bikin rating sendiri tapi nerapin ke gamenya ya allah pengen marah tapi udah tabiat bawaan negara,2040630406404522182
negatif,@virtualballers cuma sejauh ini rating yang di kasih berdasar gacha jadi gimana ya game yang jelas ada tag 'sexual content' dapet 3+ sedangkan game yang litereli berkebun 18+,2040630366135042113
negatif,"Wah, kementerian kita emang paling visioner, blokir platform game dulu baru mikir efeknya belakangan. Keren banget!",2040630366135042113
negatif,"Salut sama sistem rating baru ini, sukses besar bikin gamer se-Indonesia bersatu buat ngeluh. Prestasi luar biasa!",2040674597973209397
negatif,"Kebijakan aturan game ini emang jenius abis, saking jeniusnya sampai developer lokal malah pada ikutan rugi.",2040645893297517043
negatif,"Hebat bener eksekusinya, game tebak-tebakan dapet rating 18+ sementara game yang isinya brutal dibiarin aman sentosa. Mantap!",2040889440584057137
negatif,"Terima kasih banyak, berkat sistem kalian yang sangat canggih ini, mau main game aja ribetnya udah ngalahin ngurusin KTP",2040938059458584746
negatif,"Wow, keputusan pemblokiran dadakan ini sungguh sebuah mahakarya. Nggak ada yang lebih seru dari lihat server down pas lagi turnamen",2040951454794764642
negatif,"Benar-benar luar biasa kinerja sistem ini, ngasih aturan yang bahkan pembuatnya sendiri kayaknya nggak paham cara nerapinnya.",2040557585670234448
negatif,"Tepuk tangan buat kebijakan paling brilian tahun ini, bikin repot industri kreatif pelan-pelan berkedok perlindungan moral",2040990819679887513
negatif,"Keren, aturannya sangat membantu... membantu bikin darah tinggi tiap kali buka berita soal industri game lokal.",2040952311212802482
negatif,"Sungguh inovasi yang sangat membagongkan, aturan baru ini sukses bikin semua orang pengen pensiun main game sekalian.",2040566438919045597
